City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Nizza Monferrato,IT,86.99,overcast clouds,44.7738,8.3539,Hotel DOC
12,Bengkulu,ID,75.49,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
20,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
26,Sipoo,FI,75.63,clear sky,60.3775,25.2691,CMG-Keltas
27,Kulhudhuffushi,MV,81.77,broken clouds,6.6221,73.07,Hondaafushi Island Resort
28,Taybad,IR,85.08,broken clouds,34.74,60.7756,لی پوش jean center
32,Avdiyivka,UA,80.58,overcast clouds,48.1399,37.7426,Отель в Авдеевке
36,Srivardhan,IN,81.1,light rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
37,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
44,Catuday,PH,76.03,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
46,Houlton,US,80.73,overcast clouds,46.1262,-67.8403,Ivey's Motor Lodge Houlton
49,Saint-Gaudens,FR,80.15,clear sky,43.0833,0.6667,L'Ardiégeoise
51,Nikolskoye,RU,76.89,clear sky,59.7035,30.7861,Tourist House - Sablino
55,Kavieng,PG,82.31,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
60,Shingu,JP,76.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
62,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
65,Shahreza,IR,80.17,broken clouds,32.0339,51.8794,خوابگاه
72,Guerrero Negro,MX,76.89,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
73,Zahesi,GE,82.11,clear sky,41.8246,44.7536,"""Sanapiro"""
76,Mogadishu,SO,76.55,scattered clouds,2.0371,45.3438,Hotel Juba
81,Faanui,PF,79.63,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
83,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
86,Nacogdoches,US,89.82,scattered clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
91,Butaritari,KI,82.6,light rain,3.0707,172.7902,Isles Sunset Lodge
92,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
93,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Ponta Do Sol,PT,81.72,clear sky,32.6667,-17.1,Hotel do Campo
97,Tuy Hoa,VN,77.13,moderate rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
98,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
99,Mahibadhoo,MV,83.1,scattered clouds,3.7833,72.9667,Omadhoo Inn
101,Haimen,CN,78.69,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
104,Poltava,UA,76.75,scattered clouds,49.5937,34.5407,Yavir
110,Takoradi,GH,76.91,overcast clouds,4.8845,-1.7554,Raybow International Hotel
113,Balingasay,PH,77.83,light rain,16.3573,119.8564,Rock Garden Resort
114,Victoria,HK,84.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
128,Kolaras,IN,87.21,light rain,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
