City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,36.43,89,93,7.47,overcast clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,68.0,60,75,8.05,broken clouds
2,Sulphur,US,30.2366,-93.3774,94.96,63,1,4.61,clear sky
3,New Norfolk,AU,-42.7826,147.0587,49.5,81,88,1.01,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,45.48,99,100,2.1,overcast clouds
5,Yellowknife,CA,62.456,-114.3525,59.32,50,20,1.99,few clouds
6,San Patricio,US,28.017,-97.5169,91.49,52,46,13.29,scattered clouds
7,Namibe,AO,-15.1961,12.1522,68.04,82,1,8.57,clear sky
8,Nizza Monferrato,IT,44.7738,8.3539,86.99,39,100,4.65,overcast clouds
9,Brae,GB,60.3964,-1.353,55.31,82,94,18.79,overcast clouds
10,East London,ZA,-33.0153,27.9116,54.54,76,0,6.91,clear sky
11,Qaqortoq,GL,60.7167,-46.0333,49.82,74,84,1.5,broken clouds
12,Bengkulu,ID,-3.8004,102.2655,75.49,90,81,2.98,broken clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,100,7.0,overcast clouds
14,Bure,ET,10.7,37.0667,57.11,95,100,0.56,light rain
15,Porto Novo,BJ,6.4965,2.6036,82.22,85,99,5.39,overcast clouds
16,Ozernovskiy,RU,51.5,156.5167,55.17,98,100,9.19,light rain
17,Vidim,RU,56.4088,103.1106,55.2,99,100,6.87,overcast clouds
18,Oksfjord,NO,70.2396,22.3479,57.27,80,100,7.14,overcast clouds
19,Fortuna,US,40.5982,-124.1573,63.93,82,75,1.99,broken clouds
20,Atuona,PF,-9.8,-139.0333,77.77,78,64,26.53,light rain
21,Esperance,AU,-33.8667,121.9,53.44,76,78,10.4,broken clouds
22,Bluff,NZ,-46.6,168.3333,45.81,88,100,14.09,overcast clouds
23,Vierzon,FR,47.2101,2.0625,71.47,74,10,11.52,clear sky
24,Hobart,AU,-42.8794,147.3294,49.86,82,90,6.91,overcast clouds
25,Albany,US,42.6001,-73.9662,83.91,95,100,3.85,overcast clouds
26,Sipoo,FI,60.3775,25.2691,75.63,43,0,9.22,clear sky
27,Kulhudhuffushi,MV,6.6221,73.07,81.77,80,80,12.17,broken clouds
28,Taybad,IR,34.74,60.7756,85.08,17,53,15.05,broken clouds
29,Vaini,TO,-21.2,-175.2,73.56,100,75,6.91,broken clouds
30,Busselton,AU,-33.65,115.3333,47.08,76,22,7.29,few clouds
31,Te Anau,NZ,-45.4167,167.7167,45.99,97,100,1.45,overcast clouds
32,Avdiyivka,UA,48.1399,37.7426,80.58,53,94,5.19,overcast clouds
33,Lerwick,GB,60.1545,-1.1494,55.4,83,99,19.89,overcast clouds
34,Jamestown,US,42.097,-79.2353,74.52,94,90,1.01,moderate rain
35,Yuancheng,CN,36.652,107.7896,69.98,80,3,0.65,clear sky
36,Srivardhan,IN,18.0333,73.0167,81.1,86,96,10.47,light rain
37,Kapaa,US,22.0752,-159.319,79.12,81,89,3.0,light rain
38,Karratha,AU,-20.7377,116.8463,66.38,36,36,5.79,scattered clouds
39,Tessalit,ML,20.1986,1.0114,107.1,7,3,11.95,clear sky
40,Kloulklubed,PW,7.0419,134.2556,77.5,71,100,2.48,overcast clouds
41,Roald,NO,62.5833,6.1333,60.12,82,75,23.02,broken clouds
42,Ushuaia,AR,-54.8,-68.3,33.46,80,75,2.3,broken clouds
43,Iqaluit,CA,63.7506,-68.5145,56.93,71,75,4.0,broken clouds
44,Catuday,PH,16.2923,119.8062,76.03,91,100,7.76,overcast clouds
45,Khatanga,RU,71.9667,102.5,54.14,68,79,10.13,broken clouds
46,Houlton,US,46.1262,-67.8403,80.73,63,100,6.8,overcast clouds
47,Tahoua,NE,14.8888,5.2692,93.18,43,20,11.5,few clouds
48,El Zulia,CO,7.9325,-72.6012,90.91,45,75,11.5,broken clouds
49,Saint-Gaudens,FR,43.0833,0.6667,80.15,61,0,4.94,clear sky
50,Rochegda,RU,62.8,43.25,66.11,57,13,2.75,few clouds
51,Nikolskoye,RU,59.7035,30.7861,76.89,55,0,4.12,clear sky
52,Breyten,ZA,-26.3018,29.987,40.62,29,0,4.88,clear sky
53,Tilichiki,RU,60.4667,166.1,49.35,91,100,2.89,overcast clouds
54,Pozoblanco,ES,38.3791,-4.8483,97.38,11,0,8.37,clear sky
55,Kavieng,PG,-2.5744,150.7967,82.31,80,97,13.78,overcast clouds
56,Saint George,US,37.1041,-113.5841,98.55,32,1,1.01,clear sky
57,Vilkija,LT,55.05,23.5833,73.33,87,71,4.65,moderate rain
58,Rikitea,PF,-23.1203,-134.9692,72.5,79,50,24.05,light rain
59,Clyde River,CA,70.4692,-68.5914,44.83,65,90,13.8,overcast clouds
60,Shingu,JP,33.7333,135.9833,76.91,95,99,7.07,overcast clouds
61,Punta Arenas,CL,-53.15,-70.9167,37.51,93,75,5.75,broken clouds
62,Hithadhoo,MV,-0.6,73.0833,82.36,71,64,3.09,broken clouds
63,Kaeo,NZ,-35.1,173.7833,61.32,85,38,12.95,scattered clouds
64,Amazar,RU,53.858,120.875,60.94,79,96,3.06,overcast clouds
65,Shahreza,IR,32.0339,51.8794,80.17,40,69,7.43,broken clouds
66,Saskylakh,RU,71.9167,114.0833,47.84,64,45,7.56,scattered clouds
67,Lakes Entrance,AU,-37.8811,147.981,51.19,76,62,19.44,broken clouds
68,Bredasdorp,ZA,-34.5322,20.0403,56.52,94,19,4.61,few clouds
69,Tuatapere,NZ,-46.1333,167.6833,45.82,96,99,3.71,overcast clouds
70,Airai,TL,-8.9266,125.4092,56.52,69,78,2.1,broken clouds
71,Lebu,CL,-37.6167,-73.65,51.03,62,0,16.24,clear sky
72,Guerrero Negro,MX,27.9769,-114.0611,76.89,59,49,12.39,scattered clouds
73,Zahesi,GE,41.8246,44.7536,82.11,38,2,2.19,clear sky
74,Mar Del Plata,AR,-38.0023,-57.5575,50.09,68,40,15.99,scattered clouds
75,Vangaindrano,MG,-23.35,47.6,68.23,83,85,5.99,light rain
76,Mogadishu,SO,2.0371,45.3438,76.55,82,28,19.01,scattered clouds
77,Pisco,PE,-13.7,-76.2167,64.02,88,90,5.75,mist
78,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,40,13.8,light rain
79,Solnechnyy,RU,50.7214,136.6319,67.35,70,45,4.68,scattered clouds
80,Pevek,RU,69.7008,170.3133,46.29,73,76,14.9,broken clouds
81,Faanui,PF,-16.4833,-151.75,79.63,73,30,22.46,scattered clouds
82,Pontianak,ID,-0.0333,109.3333,76.98,100,20,3.44,few clouds
83,Cayenne,GF,4.9333,-52.3333,87.84,77,0,5.01,clear sky
84,Launceston,AU,-41.45,147.1667,42.8,100,75,5.75,fog
85,Cabo San Lucas,MX,22.8909,-109.9124,95.81,70,21,4.0,few clouds
86,Nacogdoches,US,31.6002,-94.6335,89.82,65,35,3.36,scattered clouds
87,Waingapu,ID,-9.6567,120.2641,72.28,80,13,5.26,few clouds
88,Talnakh,RU,69.4865,88.3972,51.73,93,87,2.08,light rain
89,Ust-Tsilma,RU,65.441,52.1498,58.82,67,67,4.97,broken clouds
90,Masterton,NZ,-40.9597,175.6575,56.77,92,100,19.71,light rain
91,Butaritari,KI,3.0707,172.7902,82.6,78,25,18.3,light rain
92,Georgetown,MY,5.4112,100.3354,82.89,82,20,0.0,few clouds
93,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,40,13.8,scattered clouds
94,Tazovskiy,RU,67.4667,78.7,43.65,77,90,8.63,overcast clouds
95,Ponta Do Sol,PT,32.6667,-17.1,81.72,72,3,3.42,clear sky
96,Norman Wells,CA,65.282,-126.8329,64.44,42,20,10.36,few clouds
97,Tuy Hoa,VN,13.0833,109.3,77.13,88,57,6.26,moderate rain
