City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2021-07-11 19:00:43,57.79,-152.4072,51.31,82,90,12.66
1,Makakilo City,US,2021-07-11 19:00:43,21.3469,-158.0858,78.62,62,100,17.36
2,Matara,LK,2021-07-11 19:00:44,5.9485,80.5353,78.17,88,100,15.75
3,Port Alfred,ZA,2021-07-11 19:00:44,-33.5906,26.891,63.59,49,0,12.53
4,Thompson,CA,2021-07-11 19:00:14,55.7435,-97.8558,83.98,35,100,12.55
5,Agirish,RU,2021-07-11 19:00:45,61.9247,63.0231,52.5,59,85,4.32
6,Hilo,US,2021-07-11 18:52:15,19.7297,-155.09,78.8,79,75,8.05
7,Jacareacanga,BR,2021-07-11 19:00:46,-6.2222,-57.7528,96.98,25,100,3.83
8,Busselton,AU,2021-07-11 18:54:11,-33.65,115.3333,56.05,89,100,25.05
9,Gayny,RU,2021-07-11 19:00:47,60.3071,54.3241,50.99,74,4,3.36
10,Punta Arenas,CL,2021-07-11 18:51:43,-53.15,-70.9167,35.71,87,75,23.02
11,Bredasdorp,ZA,2021-07-11 18:57:00,-34.5322,20.0403,45.72,87,16,0.0
12,Rikitea,PF,2021-07-11 18:56:29,-23.1203,-134.9692,73.69,83,38,21.85
13,Caravelas,BR,2021-07-11 18:56:58,-17.7125,-39.2481,74.55,66,0,7.38
14,Muros,ES,2021-07-11 19:00:48,42.7762,-9.0603,66.09,66,100,12.64
15,Codrington,AU,2021-07-11 18:56:31,-38.2667,141.9667,50.68,55,17,18.66
16,Sangar,RU,2021-07-11 19:00:48,63.9242,127.4739,55.11,64,100,2.26
17,Isangel,VU,2021-07-11 18:59:09,-19.55,169.2667,73.35,82,100,2.37
18,Wellington,NZ,2021-07-11 18:56:11,-41.2866,174.7756,38.91,91,20,3.44
19,Hobart,AU,2021-07-11 18:56:27,-42.8794,147.3294,41.25,91,100,5.01
20,Yevlax,AZ,2021-07-11 19:00:49,40.6089,47.1492,80.58,38,0,7.92
21,Tessalit,ML,2021-07-11 19:00:49,20.1986,1.0114,100.15,21,14,16.75
